Pinto Beans,2500,1,6,65,110,1,vegatable,750,1500,2250
Strawberries,5000,1,4,10,35,1,fruit,500,1000,3750
Eggplant,5100,1,46,25,88,2,fruit,200,400,1200
Wheat,5200,1,12,35,115,1,grain,500,1000,1500
Soybeans,5300,1,23,15,63,2,vegetable,300,900,1800
Peanuts,5400,1,16,20,78,1,fruit,275,550,1650
Goji Berry,5500,1,16,15,126,2,fruit,80,160,250
Squash,5600,4,46,40,121,2,vegetable,200,600,1200
Lilac,5700,4,10,35,75,1,flower,450,900,1350
Pumpkin,5800,5,8,30,68,1,vegetable,500,1000,3000
Spinach,5850,6,14,35,95,2,vegetable,300,600,900
Artichoke,5900,6,92,70,204,2,vegetable,125,375,750
Rice,6000,7,12,45,96,1,grain,400,400,2000
Raspberry,6100,8,2,20,46,0,fruit,1500,4500,9000
Daffodils,6200,8,46,60,135,2,flower,200,600,1200
Cotton,6300,9,69,75,207,2,vegetable,150,150,900
Cranberries,6400,10,10,55,98,1,fruit,450,650,2900
Chickpea,6500,10,20,80,210,2,vegetable,400,800,1200
Bell Pepper,6600,11,46,75,198,2,fruit,350,270,455
Rhubarb,6650,11,16,65,150,1,vegetable,480,960,1440
Pepper,6700,12,23,70,162,2,fruit,425,850,1275
Morning Glory,6800,13,12,60,123,1,flower,500,1000,1500
Aloe Vera,6900,14,6,50,85,1,vegetable,800,1600,4800
Pineapples,7000,15,46,95,242,2,vegetable,425,325,550
Red Tulips,7100,15,23,75,159,2,flower,500,1000,1500
Pattypan Squash,7200,16,16,65,160,1,vegetable,350,700,2100
Blueberry,7300,17,4,50,91,1,fruit,1000,3000,6000
Watermelon,7400,18,92,130,348,2,fruit,150,450,900
Grapes,7500,19,23,85,270,2,fruit,425,850,1275
Tomatoes,7600,20,8,100,173,1,fruit,750,1500,4500
Pink Roses,7700,20,46,120,254,2,flower,450,338,590
Potatoes,7800,21,69,135,345,2,vegetable,150,300,900
Rye,7900,21,20,140,290,2,grain,900,1800,2700
Carrots,8000,22,12,110,200,1,vegetable,500,1000,3000
Coffee,8100,23,16,120,243,1,vegetable,350,700,2100
Corn,8200,24,69,150,380,2,grain,200,400,600
Sunflowers,8300,25,23,135,315,2,flower,575,1150,1725
Ghost Chili,8400,26,6,80,136,1,fruit,1200,2400,9000
Cabbage,8500,27,46,140,388,2,vegetable,500,375,665
Zucchini,8550,27,16,120,220,2,vegetable,550,1100,1650
Green Tea,8600,28,10,105,191,1,vegetable,750,1500,4500
White Grapes,8700,29,12,245,360,2,fruit,1200,2400,3600
Blackberries,8800,29,4,75,117,1,fruit,1200,2400,7200
Red Wheat,8900,30,69,180,449,2,grain,250,500,1500
Lavender,9000,30,46,160,384,2,flower,450,338,590
Sugar Cane,9100,31,8,165,239,1,vegetable,1300,1300,6500
Peas,9200,32,23,190,381,3,vegetable,600,1200,1800
Yellow Melon,9300,33,92,205,528,2,fruit,150,450,900
Onion,9400,34,12,170,275,1,vegetable,825,825,4125
Broccoli,9500,35,46,200,473,2,vegetable,550,1100,1650
Lilies,9600,35,23,195,369,2,flower,500,1000,1500
Acorn Squash,9700,36,10,175,258,1,vegetable,1000,2000,6000
Asparagus,9800,37,16,220,357,2,vegetable,825,825,4125
Purple Poppies,9900,38,8,200,238,1,flower,750,1500,2250
Elderberry,10000,39,12,195,270,2,fruit,825,825,4125
Purple Pod Peas,10100,40,23,210,300,3,vegetable,525,1050,1575
Ginger,10200,42,18,170,320,2,other,650,1300,1950
Cucumber,10300,43,23,290,450,2,vegetable,820,1640,2460
Iris,10400,45,23,400,520,2,flower,600,1200,1800
Basil,10500,48,10,300,400,1,other,1200,2400,3600
Lemon Balm,10600,50,6,230,290,1,other,2200,4400,6600
Oats,10700,53,8,225,310,1,grain,1850,3700,5550
Posole Corn,10800,54,12,280,370,1,grain,1500,3000,4500
Heirloom Carrot,10900,57,12,110,210,1,vegetable,1400,2800,4200
Bamboo,11000,60,16,420,550,2,other,1200,2400,3600
Carnival Squash,11050,63,8,355,435,1,vegetable,2000,4000,6000
Saffron,11100,64,10,365,450,1,flower,1500,3000,4500
Clover,11200,70,4,325,368,1,flower,2500,7500,15000
Amaranth,11300,76,16,220,350,2,grain,1200,2400,7200
White Roses,11400,80,23,620,777,3,flower,900,2700,5400
Forget-Me-Not,11500,90,18,725,900,2,flower,1100,2200,6600
